Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Gewährte Boni,Gewährte Boni (Gruppe),4769,,0,Income Account,Income,EUR
Gewährte Rabatte,Gewährte Boni (Gruppe),4770,,0,Income Account,Income,EUR
Gewährte Rabatte 7 % USt,Gewährte Boni (Gruppe),4780,,0,Income Account,Income,EUR
Gewährte Rabatte 19 % USt,Gewährte Boni (Gruppe),4790,,0,Income Account,Income,EUR
Gewährte Skonti (Gruppe),1 - Umsatzerlöse,,,1,,Income,EUR
Gewährte Skonti,Gewährte Skonti (Gruppe),4730,,0,Income Account,Income,EUR
Gewährte Skonti 7 % USt,Gewährte Skonti (Gruppe),4731,,0,Income Account,Income,EUR
Gewährte Skonti 19 % USt,Gewährte Skonti (Gruppe),4736,,0,Income Account,Income,EUR
"Gewährte Skonti aus Lieferungen von Mobilfunkger./Schaltkr., für die der Leistungsemp für die Ust. schuldet",Gewährte Skonti (Gruppe),4738,,0,Income Account,Income,EUR
"Gewährte Skonti aus Leistungen, für die der Leistungsemp für die Umsatzsteuer nach § 13b UStG schuldet",Gewährte Skonti (Gruppe),4741,,0,Income Account,Income,EUR
"Gewährte Skonti aus Erlösen aus im anderen EU-Land steuerpfl. Leistungen, für die der Leistungsemp für die Ust. schuldet",Gewährte Skonti (Gruppe),4742,,0,Income Account,Income,EUR
Gewährte Skonti aus steuerfreien innergem. Lieferungen § 4 Nr. 1b UStG,Gewährte Skonti (Gruppe),4743,,0,Income Account,Income,EUR
Gewährte Skonti aus im Inland steuerpfl. EU-Lieferungen,Gewährte Skonti (Gruppe),4745,,0,Income Account,Income,EUR
Gewährte Skonti aus im Inland steuerpfl. EU-Lieferungen 7% USt,Gewährte Skonti (Gruppe),4746,,0,Income Account,Income,EUR
Gewährte Skonti aus im Inland steuerpfl. EU-Lieferungen 19% USt,Gewährte Skonti (Gruppe),4748,,0,Income Account,Income,EUR
10 - sonstige Zinsen und ähnliche Erträge,,,,1,,Income,EUR
Sonstige Zinsen und ähnliche Erträge,10 - sonstige Zinsen und ähnliche Erträge,7100,,0,Income Account,Income,EUR
"Erträge aus Anteilen an Kap.Ges. (Umlaufvermögen, inländische Kap.Ges.)",10 - sonstige Zinsen und ähnliche Erträge,7103,,0,Income Account,Income,EUR
Zinserträge § 233a AO steuerpflichtig,10 - sonstige Zinsen und ähnliche Erträge,7105,,0,Income Account,Income,EUR
